source,t,rpm,map_kpa,v_kmh,t_amb,load_pct,air_gps,lam,spark,iat_pre_c,ect_c,oil_c,rad_out_c,tps,gear,wastegate,spark_tgt,oil_filt_c,boost_tgt,trq_wheel,corr_flow,press_ratio,stable,maf_pinned
3aca2ec1-20260907_072817.csv,2.73,783.0,35.68,0.0,33.0,18.0,5.56,1.02,0.0,81.15,91.86,96.0,65.25,8.41,0.0,nan,nan,nan,nan,nan,0.00595,1.0262,0,0
3aca2ec1-20260907_072817.csv,2.88,783.0,35.68,0.0,33.0,18.0,5.56,1.02,0.0,81.15,91.86,96.0,65.25,8.41,0.0,nan,nan,nan,nan,nan,0.00595,1.0262,1,0
3aca2ec1-20260907_072817.csv,3.03,783.0,35.68,0.0,33.0,26.25,5.56,1.02,0.0,81.15,91.86,96.0,65.25,8.41,0.0,nan,nan,nan,nan,nan,0.00595,1.0262,1,0
3aca2ec1-20260907_072817.csv,3.18,783.0,35.68,0.0,33.0,26.25,5.56,1.02,0.0,81.34,91.86,96.0,65.25,8.41,0.0,nan,nan,nan,nan,nan,0.00595,1.0262,1,0
3aca2ec1-20260907_072817.csv,3.33,783.0,35.68,0.0,33.0,26.25,5.56,1.02,0.0,81.34,91.86,96.0,65.25,8.41,0.0,nan,nan,nan,nan,nan,0.00595,1.0262,1,0
3aca2ec1-20260907_072817.csv,3.48,783.0,35.66,0.0,33.0,26.25,5.56,1.02,0.0,81.34,89.36,96.0,65.25,8.41,0.0,nan,nan,nan,nan,nan,0.00595,1.0262,1,0
3aca2ec1-20260907_072817.csv,3.63,783.0,35.66,0.0,33.0,26.25,5.56,1.02,0.0,81.34,89.36,96.0,68.25,8.41,0.0,nan,nan,nan,nan,nan,0.00595,1.0262,1,0
3aca2ec1-20260907_072817.csv,3.78,783.0,35.66,0.0,33.0,26.25,5.56,1.02,0.0,81.34,89.36,96.0,68.25,8.41,0.0,nan,nan,nan,nan,nan,0.00595,1.0262,1,0
3aca2ec1-20260907_072817.csv,3.93,783.0,35.66,0.0,33.0,26.25,5.56,1.02,0.0,81.34,89.36,96.0,68.25,8.41,0.0,nan,nan,nan,nan,nan,0.00595,1.0262,1,0
3aca2ec1-20260907_072817.csv,4.08,783.0,35.66,0.0,33.0,26.25,5.56,1.02,0.0,81.34,89.36,96.0,68.25,8.41,0.0,nan,nan,nan,nan,nan,0.00595,1.0262,1,0
3aca2ec1-20260907_072817.csv,4.23,783.0,35.66,2.22,33.0,26.25,5.56,1.02,0.0,81.34,89.36,96.0,68.25,8.41,0.0,nan,nan,nan,nan,nan,0.00595,1.0262,1,0
3aca2ec1-20260907_072817.csv,4.41,783.0,35.66,2.22,33.0,26.25,5.56,1.02,0.0,81.34,89.36,96.0,68.25,12.73,0.0,nan,nan,nan,nan,nan,0.00595,1.0262,1,0
