Time,"Engine speed","Intake manifold absolute pressure","Boost pressure","Air mass flow","Mass flow through throttle valve bank 1","Relative air filling","Intake air temperature before throttle valve, measured","Air mass flow participating in combustion","Coolant temperature","Engine radiator outlet temperature (coolant)","Oil temperature","Ambient pressure","Ambient temperature","Vehicle speed","Throttle valve angle related to the lower stop","Actual gear","Lambda actual value","Actual ignition angle","Condition brake test switch actuated"
0.000,0,0,0,0,13.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.151,0,0,0,0,13.88,18.00,0,0,0,0,0,0,0,0,0,0,0,0,0
0.300,0,0,0,0,13.88,18.00,81.15,0,0,0,0,0,0,0,0,0,0,0,0
0.451,0,0,0,0,13.88,18.00,81.15,15.70,0,0,0,0,0,0,0,0,0,0,0
0.600,0,0,0,0,13.88,18.00,81.15,15.70,91.86,0,0,0,0,0,0,0,0,0,0
0.750,0,0,0,0,13.88,18.00,81.15,15.70,91.86,65.25,0,0,0,0,0,0,0,0,0
0.900,0,0,0,0,13.88,18.00,81.15,15.70,91.86,65.25,96.00,0,0,0,0,0,0,0,0
1.053,0,0,0,0,13.88,18.00,81.15,15.70,91.86,65.25,96.00,14.20,0,0,0,0,0,0,0
1.200,0,0,0,0,13.88,18.00,81.15,15.70,91.86,65.25,96.00,14.20,33.00,0,0,0,0,0,0
1.352,0,0,0,0,13.88,18.00,81.15,15.70,91.86,65.25,96.00,14.20,33.00,0.00,0,0,0,0,0
1.500,0,0,0,0,13.88,18.00,81.15,15.70,91.86,65.25,96.00,14.20,33.00,0.00,8.41,0,0,0,0
1.650,0,0,0,0,13.88,18.00,81.15,15.70,91.86,65.25,96.00,14.20,33.00,0.00,8.41,0.00,0,0,0
1.800,0,0,0,0,13.88,18.00,81.15,15.70,91.86,65.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0,0
1.980,0,0,0,0,13.88,18.00,81.15,15.70,91.86,65.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0.00,0
2.130,0,0,0,0,13.88,18.00,81.15,15.70,91.86,65.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0.00,1.00
2.280,783.00,0,0,0,13.88,18.00,81.15,15.70,91.86,65.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0.00,1.00
2.430,783.00,13.47,0,0,13.88,18.00,81.15,15.70,91.86,65.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0.00,1.00
2.580,783.00,13.47,0.08,0,13.88,18.00,81.15,15.70,91.86,65.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0.00,1.00
2.730,783.00,13.47,0.08,20.00,13.88,18.00,81.15,15.70,91.86,65.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0.00,1.00
2.880,783.00,13.47,0.08,20.00,20.78,18.00,81.15,15.70,91.86,65.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0.00,1.00
3.030,783.00,13.47,0.08,20.00,20.78,26.25,81.15,15.70,91.86,65.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0.00,1.00
3.180,783.00,13.47,0.08,20.00,20.78,26.25,81.34,15.70,91.86,65.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0.00,1.00
3.330,783.00,13.47,0.08,20.00,20.78,26.25,81.34,26.40,91.86,65.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0.00,1.00
3.480,783.00,13.47,0.08,20.00,20.78,26.25,81.34,26.40,89.36,65.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0.00,1.00
3.630,783.00,13.47,0.08,20.00,20.78,26.25,81.34,26.40,89.36,68.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0.00,1.00
3.780,783.00,13.47,0.08,20.00,20.78,26.25,81.34,26.40,89.36,68.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0.00,1.00
3.930,783.00,13.47,0.08,20.00,20.78,26.25,81.34,26.40,89.36,68.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0.00,1.00
4.080,783.00,13.47,0.08,20.00,20.78,26.25,81.34,26.40,89.36,68.25,96.00,14.20,33.00,0.00,8.41,0.00,1.02,0.00,1.00
