Time,"Engine speed","Intake manifold absolute pressure","Boost pressure","Air mass flow","Mass flow through throttle valve bank 1","Relative air filling","Intake air temperature before throttle valve, measured","Air mass flow participating in combustion","Coolant temperature","Engine radiator outlet temperature (coolant)","Oil temperature","Ambient pressure","Ambient temperature","Vehicle speed","Throttle valve angle related to the lower stop","Actual gear","Lambda actual value","Actual ignition angle","Condition brake test switch actuated"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0
0.240,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,19.87,0,0,0,0
0.420,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,19.87,0.00,0,0,0
0.630,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,19.87,0.00,1.00,0,0
0.780,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,19.87,0.00,1.00,-26.25,0
0.930,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,19.87,0.00,1.00,-26.25,0.00
1.080,1265.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,19.87,0.00,1.00,-26.25,0.00
1.230,1265.00,13.55,0,0,0,0,0,0,0,0,0,0,0,0.00,19.87,0.00,1.00,-26.25,0.00
1.411,1265.00,13.55,0.09,0,0,0,0,0,0,0,0,0,0,0.00,19.87,0.00,1.00,-26.25,0.00
1.560,1265.00,13.55,0.09,60.00,0,0,0,0,0,0,0,0,0,0.00,19.87,0.00,1.00,-26.25,0.00
1.710,1265.00,13.55,0.09,60.00,60.72,0,0,0,0,0,0,0,0,0.00,19.87,0.00,1.00,-26.25,0.00
1.860,1265.00,13.55,0.09,60.00,60.72,44.25,0,0,0,0,0,0,0,0.00,19.87,0.00,1.00,-26.25,0.00
2.040,1265.00,13.55,0.09,60.00,60.72,44.25,41.64,0,0,0,0,0,0,0.00,19.87,0.00,1.00,-26.25,0.00
2.221,1265.00,13.55,0.09,60.00,60.72,44.25,41.64,60.90,0,0,0,0,0,0.00,19.87,0.00,1.00,-26.25,0.00
2.369,1265.00,13.55,0.09,60.00,60.72,44.25,41.64,60.90,41.96,0,0,0,0,0.00,19.87,0.00,1.00,-26.25,0.00
2.520,1265.00,13.55,0.09,60.00,60.72,44.25,41.64,60.90,41.96,38.25,0,0,0,0.00,19.87,0.00,1.00,-26.25,0.00
2.699,1265.00,13.55,0.09,60.00,60.72,44.25,41.64,60.90,41.96,38.25,39.00,0,0,0.00,19.87,0.00,1.00,-26.25,0.00
2.849,1265.00,13.55,0.09,60.00,60.72,44.25,41.64,60.90,41.96,38.25,39.00,14.22,0,0.00,19.87,0.00,1.00,-26.25,0.00
2.999,1265.00,13.55,0.09,60.00,60.72,44.25,41.64,60.90,41.96,38.25,39.00,14.22,36.50,0.00,19.87,0.00,1.00,-26.25,0.00
3.149,1265.00,13.55,0.09,60.00,60.72,44.25,41.64,60.90,41.96,38.25,39.00,14.22,36.50,0.00,19.87,0.00,1.00,-26.25,0.00
3.299,1265.00,13.55,0.09,60.00,60.72,44.25,41.64,60.90,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-26.25,0.00
3.449,1265.00,13.55,0.09,60.00,60.72,44.25,41.64,60.90,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-26.25,0.00
3.600,1265.00,13.55,0.09,60.00,60.72,44.25,41.64,60.90,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-26.25,0.00
3.750,1265.00,13.55,0.09,60.00,60.72,44.25,41.64,60.90,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
3.900,1265.00,13.55,0.09,60.00,60.72,44.25,41.64,60.90,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
4.050,1214.00,13.55,0.09,60.00,60.72,44.25,41.64,60.90,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
4.200,1214.00,13.53,0.09,60.00,60.72,44.25,41.64,60.90,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
4.350,1214.00,13.53,0.17,60.00,60.72,44.25,41.64,60.90,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
4.500,1214.00,13.53,0.17,64.00,60.72,44.25,41.64,60.90,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
4.650,1214.00,13.53,0.17,64.00,65.53,44.25,41.64,60.90,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
4.800,1214.00,13.53,0.17,64.00,65.53,47.25,41.64,60.90,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
4.950,1214.00,13.53,0.17,64.00,65.53,47.25,41.36,60.90,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
5.100,1214.00,13.53,0.17,64.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
5.250,1214.00,13.53,0.17,64.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
5.400,1214.00,13.53,0.17,64.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
5.550,1214.00,13.53,0.17,64.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
5.700,1214.00,13.53,0.17,64.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
5.850,1214.00,13.53,0.17,64.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
6.000,1214.00,13.53,0.17,64.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.48,0.00,1.00,-21.75,0.00
6.150,1214.00,13.53,0.17,64.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,1.00,-21.75,0.00
6.300,1214.00,13.53,0.17,64.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,1.00,-21.75,0.00
6.450,1214.00,13.53,0.17,64.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.75,0.00
6.600,1214.00,13.53,0.17,64.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
6.750,1214.00,13.53,0.17,64.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
6.901,1170.50,13.53,0.17,64.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
7.050,1170.50,13.54,0.17,64.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
7.201,1170.50,13.54,0.23,64.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
7.351,1170.50,13.54,0.23,68.00,65.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
7.501,1170.50,13.54,0.23,68.00,70.53,47.25,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
7.650,1170.50,13.54,0.23,68.00,70.53,51.00,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
7.800,1170.50,13.54,0.23,68.00,70.53,51.00,41.36,66.10,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
7.951,1170.50,13.54,0.23,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
8.101,1170.50,13.54,0.23,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
8.251,1170.50,13.54,0.23,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
8.400,1170.50,13.54,0.23,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
8.550,1170.50,13.54,0.23,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
8.701,1170.50,13.54,0.23,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
8.851,1170.50,13.54,0.23,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,18.49,0.00,0.98,-21.00,0.00
9.001,1170.50,13.54,0.23,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,19.12,0.00,0.98,-21.00,0.00
9.151,1170.50,13.54,0.23,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,19.12,0.00,0.98,-21.00,0.00
9.301,1170.50,13.54,0.23,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,19.12,0.00,1.00,-21.00,0.00
9.451,1170.50,13.54,0.23,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,19.12,0.00,1.00,-21.00,0.00
9.601,1170.50,13.54,0.23,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,19.12,0.00,1.00,-21.00,0.00
9.751,1225.00,13.54,0.23,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,19.12,0.00,1.00,-21.00,0.00
9.901,1225.00,13.54,0.23,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,19.12,0.00,1.00,-21.00,0.00
10.051,1225.00,13.54,0.26,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,19.12,0.00,1.00,-21.00,0.00
10.201,1225.00,13.54,0.26,68.00,70.53,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,19.12,0.00,1.00,-21.00,0.00
10.381,1225.00,13.54,0.26,68.00,69.31,51.00,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,19.12,0.00,1.00,-21.00,0.00
10.533,1225.00,13.54,0.26,68.00,69.31,48.75,41.36,71.50,41.96,38.25,39.00,14.22,36.50,0.00,19.12,0.00,1.00,-21.00,0.00
10.681,1225.00,13.54,0.26,68.00,69.31,48.75,41.24,71.50,41.96,38.25,39.00,14.22,36.50,0.00,19.12,0.00,1.00,-21.00,0.00
10.831,1225.00,13.54,0.26,68.00,69.31,48.75,41.24,67.00,41.96,38.25,39.00,14.22,36.50,0.00,19.12,0.00,1.00,-21.00,0.00
10.980,1225.00,13.54,0.26,68.00,69.31,48.75,41.24,67.00,42.06,38.25,39.00,14.22,36.50,0.00,19.12,0.00,1.00,-21.00,0.00
11.133,1225.00,13.54,0.26,68.00,69.31,48.75,41.24,67.00,42.06,38.25,39.00,14.22,36.50,0.00,19.12,0.00,1.00,-21.00,0.00
