Time,"Engine speed","Intake manifold absolute pressure","Boost pressure","Air mass flow","Mass flow through throttle valve bank 1","Relative air filling","Intake air temperature before throttle valve, measured","Air mass flow participating in combustion","Coolant temperature","Engine radiator outlet temperature (coolant)","Oil temperature","Ambient pressure","Ambient temperature","Vehicle speed","Throttle valve angle related to the lower stop","Actual gear","Lambda actual value","Actual ignition angle","Condition brake test switch actuated"
0.000,0,0,0,0,0,0,0,0,92.66,0,0,0,0,0,0,0,0,0,0
0.150,0,0,0,0,0,0,0,0,92.66,52.50,0,0,0,0,0,0,0,0,0
0.300,0,0,0,0,0,0,0,0,92.66,52.50,91.00,0,0,0,0,0,0,0,0
0.450,0,0,0,0,0,0,0,0,92.66,52.50,91.00,14.40,0,0,0,0,0,0,0
0.600,0,0,0,0,0,0,0,0,92.66,52.50,91.00,14.40,41.50,0,0,0,0,0,0
0.750,0,0,0,0,0,0,0,0,92.66,52.50,91.00,14.40,41.50,126.57,0,0,0,0,0
0.900,0,0,0,0,0,0,0,0,92.66,52.50,91.00,14.40,41.50,126.57,19.35,0,0,0,0
1.050,0,0,0,0,0,0,0,0,92.66,52.50,91.00,14.40,41.50,126.57,19.35,6.00,0,0,0
1.200,0,0,0,0,0,0,0,0,92.66,52.50,91.00,14.40,41.50,126.57,19.35,6.00,1.00,0,0
1.350,0,0,0,0,0,0,0,0,92.66,52.50,91.00,14.40,41.50,126.57,19.35,6.00,1.00,24.75,0
1.500,0,0,0,0,0,0,0,0,92.66,52.50,91.00,14.40,41.50,126.57,19.35,6.00,1.00,24.75,0.00
1.650,2599.00,0,0,0,0,0,0,0,92.66,52.50,91.00,14.40,41.50,126.57,19.35,6.00,1.00,24.75,0.00
1.800,2599.00,13.73,0,0,0,0,0,0,92.66,52.50,91.00,14.40,41.50,126.57,19.35,6.00,1.00,24.75,0.00
1.950,2599.00,13.73,0.52,0,0,0,0,0,92.66,52.50,91.00,14.40,41.50,126.57,19.35,6.00,1.00,24.75,0.00
2.100,2599.00,13.73,0.52,120.00,0,0,0,0,92.66,52.50,91.00,14.40,41.50,126.57,19.35,6.00,1.00,24.75,0.00
2.250,2599.00,13.73,0.52,120.00,120.47,0,0,0,92.66,52.50,91.00,14.40,41.50,126.57,19.35,6.00,1.00,24.75,0.00
2.400,2599.00,13.73,0.52,120.00,120.47,40.50,0,0,92.66,52.50,91.00,14.40,41.50,126.57,19.35,6.00,1.00,24.75,0.00
