Time,"Engine speed","Intake manifold absolute pressure","Boost pressure","Air mass flow","Mass flow through throttle valve bank 1","Relative air filling","Intake air temperature before throttle valve, measured","Air mass flow participating in combustion","Coolant temperature","Engine radiator outlet temperature (coolant)","Oil temperature","Ambient pressure","Ambient temperature","Vehicle speed","Throttle valve angle related to the lower stop","Actual gear","Lambda actual value","Actual ignition angle","Condition brake test switch actuated"
0.000,0,0,0,0,0,0,41.76,0,0,0,0,0,0,0,0,0,0,0,0
0.182,0,0,0,0,0,0,41.76,16.40,0,0,0,0,0,0,0,0,0,0,0
0.330,0,0,0,0,0,0,41.76,16.40,62.96,0,0,0,0,0,0,0,0,0,0
0.482,0,0,0,0,0,0,41.76,16.40,62.96,38.25,0,0,0,0,0,0,0,0,0
0.630,0,0,0,0,0,0,41.76,16.40,62.96,38.25,55.00,0,0,0,0,0,0,0,0
0.782,0,0,0,0,0,0,41.76,16.40,62.96,38.25,55.00,14.22,0,0,0,0,0,0,0
0.930,0,0,0,0,0,0,41.76,16.40,62.96,38.25,55.00,14.22,36.50,0,0,0,0,0,0
1.082,0,0,0,0,0,0,41.76,16.40,62.96,38.25,55.00,14.22,36.50,0.00,0,0,0,0,0
1.230,0,0,0,0,0,0,41.76,16.40,62.96,38.25,55.00,14.22,36.50,0.00,6.82,0,0,0,0
1.382,0,0,0,0,0,0,41.76,16.40,62.96,38.25,55.00,14.22,36.50,0.00,6.82,0.00,0,0,0
1.530,0,0,0,0,0,0,41.76,16.40,62.96,38.25,55.00,14.22,36.50,0.00,6.82,0.00,0.99,0,0
1.682,0,0,0,0,0,0,41.76,16.40,62.96,38.25,55.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,0
1.830,0,0,0,0,0,0,41.76,16.40,62.96,38.25,55.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,1.00
1.982,744.00,0,0,0,0,0,41.76,16.40,62.96,38.25,55.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,1.00
2.130,744.00,13.49,0,0,0,0,41.76,16.40,62.96,38.25,55.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,1.00
2.280,744.00,13.49,0.02,0,0,0,41.76,16.40,62.96,38.25,55.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,1.00
2.430,744.00,13.49,0.02,16.00,0,0,41.76,16.40,62.96,38.25,55.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,1.00
2.610,744.00,13.49,0.02,16.00,16.03,0,41.76,16.40,62.96,38.25,55.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,1.00
2.762,744.00,13.49,0.02,16.00,16.03,18.75,41.76,16.40,62.96,38.25,55.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,1.00
2.910,744.00,13.49,0.02,16.00,16.03,18.75,41.76,16.40,62.96,38.25,55.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,1.00
3.062,744.00,13.49,0.02,16.00,16.03,18.75,41.76,16.60,62.96,38.25,55.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,1.00
3.210,744.00,13.49,0.02,16.00,16.03,18.75,41.76,16.60,63.46,38.25,55.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,1.00
3.363,744.00,13.49,0.02,16.00,16.03,18.75,41.76,16.60,63.46,38.25,55.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,1.00
3.510,744.00,13.49,0.02,16.00,16.03,18.75,41.76,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,1.00
3.662,744.00,13.49,0.02,16.00,16.03,18.75,41.76,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,1.00
3.810,744.00,13.49,0.02,16.00,16.03,18.75,41.76,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,1.00
3.960,744.00,13.49,0.02,16.00,16.03,18.75,41.76,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.82,0.00,0.99,5.25,1.00
4.110,744.00,13.49,0.02,16.00,16.03,18.75,41.76,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.98,0.00,0.99,5.25,1.00
4.262,744.00,13.49,0.02,16.00,16.03,18.75,41.76,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.98,0.00,0.99,5.25,1.00
4.410,744.00,13.49,0.02,16.00,16.03,18.75,41.76,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.98,0.00,0.99,5.25,1.00
4.562,744.00,13.49,0.02,16.00,16.03,18.75,41.76,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,1.00
4.710,744.00,13.49,0.02,16.00,16.03,18.75,41.76,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,0.00
4.862,741.00,13.49,0.02,16.00,16.03,18.75,41.76,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,0.00
5.040,741.00,13.48,0.02,16.00,16.03,18.75,41.76,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,0.00
5.190,741.00,13.48,0.02,16.00,16.03,18.75,41.76,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,0.00
5.340,741.00,13.48,0.02,16.00,16.03,18.75,41.76,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,0.00
5.490,741.00,13.48,0.02,16.00,16.09,18.75,41.76,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,0.00
5.640,741.00,13.48,0.02,16.00,16.09,18.75,41.76,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,0.00
5.790,741.00,13.48,0.02,16.00,16.09,18.75,41.85,16.60,63.46,38.25,56.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,0.00
5.940,741.00,13.48,0.02,16.00,16.09,18.75,41.85,16.70,63.46,38.25,56.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,0.00
6.090,741.00,13.48,0.02,16.00,16.09,18.75,41.85,16.70,63.86,38.25,56.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,0.00
6.240,741.00,13.48,0.02,16.00,16.09,18.75,41.85,16.70,63.86,38.25,56.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,0.00
6.390,741.00,13.48,0.02,16.00,16.09,18.75,41.85,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,0.00
6.570,741.00,13.48,0.02,16.00,16.09,18.75,41.85,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,0.00
6.720,741.00,13.48,0.02,16.00,16.09,18.75,41.85,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,0.00
6.872,741.00,13.48,0.02,16.00,16.09,18.75,41.85,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.98,0.00,0.99,3.75,0.00
7.020,741.00,13.48,0.02,16.00,16.09,18.75,41.85,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.95,0.00,0.99,3.75,0.00
7.170,741.00,13.48,0.02,16.00,16.09,18.75,41.85,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.95,0.00,0.99,3.75,0.00
7.320,741.00,13.48,0.02,16.00,16.09,18.75,41.85,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.95,0.00,0.99,3.75,0.00
7.472,741.00,13.48,0.02,16.00,16.09,18.75,41.85,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
7.620,741.00,13.48,0.02,16.00,16.09,18.75,41.85,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
7.772,741.00,13.48,0.02,16.00,16.09,18.75,41.85,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
7.920,741.00,13.49,0.02,16.00,16.09,18.75,41.85,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
8.072,741.00,13.49,0.02,16.00,16.09,18.75,41.85,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
8.220,741.00,13.49,0.02,16.00,16.09,18.75,41.85,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
8.372,741.00,13.49,0.02,16.00,15.69,18.75,41.85,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
8.520,741.00,13.49,0.02,16.00,15.69,24.00,41.85,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
8.670,741.00,13.49,0.02,16.00,15.69,24.00,41.94,16.70,63.86,38.25,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
8.820,741.00,13.49,0.02,16.00,15.69,24.00,41.94,162.30,63.86,38.25,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
8.970,741.00,13.49,0.02,16.00,15.69,24.00,41.94,162.30,64.26,38.25,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
9.120,741.00,13.49,0.02,16.00,15.69,24.00,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
9.272,741.00,13.49,0.02,16.00,15.69,24.00,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
9.420,741.00,13.49,0.02,16.00,15.69,24.00,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
9.572,741.00,13.49,0.02,16.00,15.69,24.00,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
9.720,741.00,13.49,0.02,16.00,15.69,24.00,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,6.95,0.00,0.99,5.25,0.00
9.872,741.00,13.49,0.02,16.00,15.69,24.00,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,34.28,0.00,0.99,5.25,0.00
10.020,741.00,13.49,0.02,16.00,15.69,24.00,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,34.28,0.00,0.99,5.25,0.00
10.172,741.00,13.49,0.02,16.00,15.69,24.00,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,34.28,0.00,0.88,5.25,0.00
10.320,741.00,13.49,0.02,16.00,15.69,24.00,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
10.472,741.00,13.49,0.02,16.00,15.69,24.00,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
10.620,1222.00,13.49,0.02,16.00,15.69,24.00,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
10.772,1222.00,13.52,0.02,16.00,15.69,24.00,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
10.920,1222.00,13.52,0.21,16.00,15.69,24.00,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
11.072,1222.00,13.52,0.21,16.00,15.69,24.00,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
11.220,1222.00,13.52,0.21,16.00,17.94,24.00,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
11.373,1222.00,13.52,0.21,16.00,17.94,19.50,41.94,162.30,64.26,39.00,57.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
11.520,1222.00,13.52,0.21,16.00,17.94,19.50,42.04,162.30,64.26,39.00,57.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
11.700,1222.00,13.52,0.21,16.00,17.94,19.50,42.04,126.70,64.26,39.00,57.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
11.850,1222.00,13.52,0.21,16.00,17.94,19.50,42.04,126.70,64.66,39.00,57.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
12.000,1222.00,13.52,0.21,16.00,17.94,19.50,42.04,126.70,64.66,38.25,57.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
12.151,1222.00,13.52,0.21,16.00,17.94,19.50,42.04,126.70,64.66,38.25,58.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
12.300,1222.00,13.52,0.21,16.00,17.94,19.50,42.04,126.70,64.66,38.25,58.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
12.450,1222.00,13.52,0.21,16.00,17.94,19.50,42.04,126.70,64.66,38.25,58.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
12.600,1222.00,13.52,0.21,16.00,17.94,19.50,42.04,126.70,64.66,38.25,58.00,14.22,36.50,0.00,34.28,0.00,0.88,-14.25,0.00
12.750,1222.00,13.52,0.21,16.00,17.94,19.50,42.04,126.70,64.66,38.25,58.00,14.22,36.50,0.00,6.87,0.00,0.88,-14.25,0.00
12.900,1222.00,13.52,0.21,16.00,17.94,19.50,42.04,126.70,64.66,38.25,58.00,14.22,36.50,0.00,6.87,0.00,0.88,-14.25,0.00
13.050,1222.00,13.52,0.21,16.00,17.94,19.50,42.04,126.70,64.66,38.25,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-14.25,0.00
13.200,1222.00,13.52,0.21,16.00,17.94,19.50,42.04,126.70,64.66,38.25,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
13.350,1222.00,13.52,0.21,16.00,17.94,19.50,42.04,126.70,64.66,38.25,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
13.500,878.50,13.52,0.21,16.00,17.94,19.50,42.04,126.70,64.66,38.25,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
13.650,878.50,13.46,0.21,16.00,17.94,19.50,42.04,126.70,64.66,38.25,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
13.800,878.50,13.46,0.00,16.00,17.94,19.50,42.04,126.70,64.66,38.25,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
13.950,878.50,13.46,0.00,60.00,17.94,19.50,42.04,126.70,64.66,38.25,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
14.130,878.50,13.46,0.00,60.00,28.59,19.50,42.04,126.70,64.66,38.25,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
14.280,878.50,13.46,0.00,60.00,28.59,12.75,42.04,126.70,64.66,38.25,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
14.430,878.50,13.46,0.00,60.00,28.59,12.75,42.25,126.70,64.66,38.25,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
14.582,878.50,13.46,0.00,60.00,28.59,12.75,42.25,16.50,64.66,38.25,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
14.730,878.50,13.46,0.00,60.00,28.59,12.75,42.25,16.50,64.66,38.25,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
14.882,878.50,13.46,0.00,60.00,28.59,12.75,42.25,16.50,64.66,39.00,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
15.030,878.50,13.46,0.00,60.00,28.59,12.75,42.25,16.50,64.66,39.00,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
15.182,878.50,13.46,0.00,60.00,28.59,12.75,42.25,16.50,64.66,39.00,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
15.330,878.50,13.46,0.00,60.00,28.59,12.75,42.25,16.50,64.66,39.00,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
15.482,878.50,13.46,0.00,60.00,28.59,12.75,42.25,16.50,64.66,39.00,58.00,14.22,36.50,0.00,6.87,0.00,1.11,-4.50,0.00
15.630,878.50,13.46,0.00,60.00,28.59,12.75,42.25,16.50,64.66,39.00,58.00,14.22,36.50,0.00,8.66,0.00,1.11,-4.50,0.00
15.782,878.50,13.46,0.00,60.00,28.59,12.75,42.25,16.50,64.66,39.00,58.00,14.22,36.50,0.00,8.66,0.00,1.11,-4.50,0.00
15.930,878.50,13.46,0.00,60.00,28.59,12.75,42.25,16.50,64.66,39.00,58.00,14.22,36.50,0.00,8.66,0.00,0.99,-4.50,0.00
16.083,878.50,13.46,0.00,60.00,28.59,12.75,42.25,16.50,64.66,39.00,58.00,14.22,36.50,0.00,8.66,0.00,0.99,-3.75,0.00
16.230,878.50,13.46,0.00,60.00,28.59,12.75,42.25,16.50,64.66,39.00,58.00,14.22,36.50,0.00,8.66,0.00,0.99,-3.75,1.00
16.382,834.00,13.46,0.00,60.00,28.59,12.75,42.25,16.50,64.66,39.00,58.00,14.22,36.50,0.00,8.66,0.00,0.99,-3.75,1.00
16.530,834.00,13.46,0.00,60.00,28.59,12.75,42.25,16.50,64.66,39.00,58.00,14.22,36.50,0.00,8.66,0.00,0.99,-3.75,1.00
16.680,834.00,13.46,0.11,60.00,28.59,12.75,42.25,16.50,64.66,39.00,58.00,14.22,36.50,0.00,8.66,0.00,0.99,-3.75,1.00
16.830,834.00,13.46,0.11,20.00,28.59,12.75,42.25,16.50,64.66,39.00,58.00,14.22,36.50,0.00,8.66,0.00,0.99,-3.75,1.00
