Time,"Engine speed","Intake manifold absolute pressure","Boost pressure","Air mass flow","Mass flow through throttle valve bank 1","Relative air filling","Intake air temperature before throttle valve, measured","Air mass flow participating in combustion","Coolant temperature","Engine radiator outlet temperature (coolant)","Oil temperature","Ambient pressure","Ambient temperature","Vehicle speed","Throttle valve angle related to the lower stop","Actual gear","Lambda actual value","Actual ignition angle","Condition brake test switch actuated","Intake air temperature","Is position electrical wastegate (0: WG closed, 100 WG open)","Target ignition angle from torque intervention","Oil temperature after filter","Boost pressure setpoint","Coordinated target torque on the wheel"
0.000,0,0,0,0,0,0,73.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150,0,0,0,0,0,0,73.26,28.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.300,0,0,0,0,0,0,73.26,28.20,93.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.450,0,0,0,0,0,0,73.26,28.20,93.96,58.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.600,0,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.749,0,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,0,0,0,0,0,0,0,0,0,0,0,0,0
0.900,0,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,0,0,0,0,0,0,0,0,0,0,0,0
1.050,0,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,0,0,0,0,0,0,0,0,0,0,0
1.200,0,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,0,0,0,0,0,0,0,0,0,0
1.350,0,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0,0,0,0,0,0,0,0,0
1.500,0,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,0,0,0,0,0,0,0,0
1.650,0,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0,0,0,0,0,0,0
1.800,0,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,0,0,0,0,0,0
1.950,0,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0,0,0,0,0
2.100,0,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,0,0,0,0
2.250,0,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,0,0,0
2.400,0,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0,0
2.550,0,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,0
2.700,0,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
2.850,1464.00,0,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
3.000,1464.00,13.70,0,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
3.181,1464.00,13.70,0.20,0,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
3.330,1464.00,13.70,0.20,36.00,0,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
3.481,1464.00,13.70,0.20,36.00,35.22,0,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
3.630,1464.00,13.70,0.20,36.00,35.22,22.50,73.26,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
3.781,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,28.20,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
3.930,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
4.081,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
4.230,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
4.381,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
4.530,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
4.681,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,91.76,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
4.830,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,11.05,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
4.981,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
5.130,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.96,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
5.281,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,18.00,0.00,57.75,0.39,3.75,106.50,0.00,28.03
5.462,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,3.75,106.50,0.00,28.03
5.610,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,3.75,106.50,0.00,28.03
5.762,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,3.75,106.50,0.00,28.03
5.910,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,3.75,106.50,0.00,28.03
6.062,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,18.75,106.50,0.00,28.03
6.210,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,18.75,106.50,0.00,28.03
6.362,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,18.75,106.50,0.00,28.03
6.510,1464.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,18.75,106.50,0.00,179.23
6.662,1472.00,13.70,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,18.75,106.50,0.00,179.23
6.810,1472.00,13.91,0.20,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,18.75,106.50,0.00,179.23
6.960,1472.00,13.91,0.71,36.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,18.75,106.50,0.00,179.23
7.110,1472.00,13.91,0.71,20.00,35.22,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,18.75,106.50,0.00,179.23
7.262,1472.00,13.91,0.71,20.00,17.06,22.50,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,18.75,106.50,0.00,179.23
7.410,1472.00,13.91,0.71,20.00,17.06,11.25,73.35,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,18.75,106.50,0.00,179.23
7.562,1472.00,13.91,0.71,20.00,17.06,11.25,72.34,45.90,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,18.75,106.50,0.00,179.23
7.711,1472.00,13.91,0.71,20.00,17.06,11.25,72.34,19.30,93.96,58.50,94.00,14.42,40.00,90.88,18.45,6.00,0.98,17.25,0.00,57.75,0.39,18.75,106.50,0.00,179.23
