Time,"Engine speed","Intake manifold absolute pressure","Boost pressure","Air mass flow","Mass flow through throttle valve bank 1","Relative air filling","Intake air temperature before throttle valve, measured","Air mass flow participating in combustion","Coolant temperature","Engine radiator outlet temperature (coolant)","Oil temperature","Ambient pressure","Ambient temperature","Vehicle speed","Throttle valve angle related to the lower stop","Actual gear","Lambda actual value","Actual ignition angle","Condition brake test switch actuated","Intake air temperature","Is position electrical wastegate (0: WG closed, 100 WG open)"
0.000,0,0,0,0,0,0,0,22.00,0,0,0,0,0,0,0,0,0,0,0,0,0
0.151,0,0,0,0,0,0,0,22.00,87.36,0,0,0,0,0,0,0,0,0,0,0,0
0.300,0,0,0,0,0,0,0,22.00,87.36,42.75,0,0,0,0,0,0,0,0,0,0,0
0.451,0,0,0,0,0,0,0,22.00,87.36,42.75,82.00,0,0,0,0,0,0,0,0,0,0
0.600,0,0,0,0,0,0,0,22.00,87.36,42.75,82.00,14.24,0,0,0,0,0,0,0,0,0
0.751,0,0,0,0,0,0,0,22.00,87.36,42.75,82.00,14.24,35.50,0,0,0,0,0,0,0,0
0.900,0,0,0,0,0,0,0,22.00,87.36,42.75,82.00,14.24,35.50,19.65,0,0,0,0,0,0,0
1.051,0,0,0,0,0,0,0,22.00,87.36,42.75,82.00,14.24,35.50,19.65,13.38,0,0,0,0,0,0
1.200,0,0,0,0,0,0,0,22.00,87.36,42.75,82.00,14.24,35.50,19.65,13.38,2.00,0,0,0,0,0
1.351,0,0,0,0,0,0,0,22.00,87.36,42.75,82.00,14.24,35.50,19.65,13.38,2.00,0.98,0,0,0,0
1.500,0,0,0,0,0,0,0,22.00,87.36,42.75,82.00,14.24,35.50,19.65,13.38,2.00,0.98,15.75,0,0,0
1.651,0,0,0,0,0,0,0,22.00,87.36,42.75,82.00,14.24,35.50,19.65,13.38,2.00,0.98,15.75,0.00,0,0
1.800,0,0,0,0,0,0,0,22.00,87.36,42.75,82.00,14.24,35.50,19.65,13.38,2.00,0.98,15.75,0.00,42.75,0
1.951,0,0,0,0,0,0,0,22.00,87.36,42.75,82.00,14.24,35.50,19.65,13.38,2.00,0.98,15.75,0.00,42.75,0.00
2.100,1924.50,0,0,0,0,0,0,22.00,87.36,42.75,82.00,14.24,35.50,19.65,13.38,2.00,0.98,15.75,0.00,42.75,0.00
