Time,"Engine speed","Air mass flow","Coolant temperature","Oil temperature","Ambient temperature","Vehicle speed","Lambda actual value","Actual ignition angle","Boost pressure","Relative air filling"
0.000,0,0,0,0,0,107.59,0,0,0,0
0.150,0,0,0,0,0,107.59,1.00,0,0,0
0.300,0,0,0,0,0,107.59,1.00,25.50,0,0
0.450,0,0,0,0,0,107.59,1.00,25.50,2.98,0
0.600,0,0,0,0,0,107.59,1.00,25.50,2.98,43.50
0.750,2704.00,0,0,0,0,107.59,1.00,25.50,2.98,43.50
0.900,2704.00,136.00,0,0,0,107.59,1.00,25.50,2.98,43.50
1.050,2704.00,136.00,93.36,0,0,107.59,1.00,25.50,2.98,43.50
1.200,2704.00,136.00,93.36,93.00,0,107.59,1.00,25.50,2.98,43.50
1.350,2704.00,136.00,93.36,93.00,34.00,107.59,1.00,25.50,2.98,43.50
1.500,2704.00,136.00,93.36,93.00,34.00,108.35,1.00,25.50,2.98,43.50
1.649,2704.00,136.00,93.36,93.00,34.00,108.35,0.97,25.50,2.98,43.50
1.800,2704.00,136.00,93.36,93.00,34.00,108.35,0.97,19.50,2.98,43.50
1.950,2704.00,136.00,93.36,93.00,34.00,108.35,0.97,19.50,3.98,43.50
2.100,2704.00,136.00,93.36,93.00,34.00,108.35,0.97,19.50,3.98,58.50
2.250,2740.50,136.00,93.36,93.00,34.00,108.35,0.97,19.50,3.98,58.50
2.400,2740.50,236.00,93.36,93.00,34.00,108.35,0.97,19.50,3.98,58.50
2.580,2740.50,236.00,93.26,93.00,34.00,108.35,0.97,19.50,3.98,58.50
2.730,2740.50,236.00,93.26,93.00,34.00,108.35,0.97,19.50,3.98,58.50
2.880,2740.50,236.00,93.26,93.00,34.00,108.35,0.97,19.50,3.98,58.50
3.030,2740.50,236.00,93.26,93.00,34.00,110.84,0.97,19.50,3.98,58.50
3.180,2740.50,236.00,93.26,93.00,34.00,110.84,1.00,19.50,3.98,58.50
3.330,2740.50,236.00,93.26,93.00,34.00,110.84,1.00,13.50,3.98,58.50
3.480,2740.50,236.00,93.26,93.00,34.00,110.84,1.00,13.50,3.11,58.50
3.630,2740.50,236.00,93.26,93.00,34.00,110.84,1.00,13.50,3.11,72.75
3.780,2816.50,236.00,93.26,93.00,34.00,110.84,1.00,13.50,3.11,72.75
3.960,2816.50,236.00,93.26,93.00,34.00,110.84,1.00,13.50,3.11,72.75
4.110,2816.50,236.00,93.16,93.00,34.00,110.84,1.00,13.50,3.11,72.75
4.260,2816.50,236.00,93.16,93.00,34.00,110.84,1.00,13.50,3.11,72.75
4.410,2816.50,236.00,93.16,93.00,34.00,110.84,1.00,13.50,3.11,72.75
4.560,2816.50,236.00,93.16,93.00,34.00,113.90,1.00,13.50,3.11,72.75
4.710,2816.50,236.00,93.16,93.00,34.00,113.90,0.99,13.50,3.11,72.75
4.861,2816.50,236.00,93.16,93.00,34.00,113.90,0.99,3.75,3.11,72.75
5.010,2816.50,236.00,93.16,93.00,34.00,113.90,0.99,3.75,3.66,72.75
5.160,2816.50,236.00,93.16,93.00,34.00,113.90,0.99,3.75,3.66,18.00
5.310,2825.00,236.00,93.16,93.00,34.00,113.90,0.99,3.75,3.66,18.00
5.460,2825.00,56.00,93.16,93.00,34.00,113.90,0.99,3.75,3.66,18.00
5.610,2825.00,56.00,93.16,93.00,34.00,113.90,0.99,3.75,3.66,18.00
5.760,2825.00,56.00,93.16,93.00,34.00,113.90,0.99,3.75,3.66,18.00
5.910,2825.00,56.00,93.16,93.00,34.00,113.90,0.99,3.75,3.66,18.00
6.060,2825.00,56.00,93.16,93.00,34.00,111.60,0.99,3.75,3.66,18.00
6.210,2825.00,56.00,93.16,93.00,34.00,111.60,0.99,3.75,3.66,18.00
6.360,2825.00,56.00,93.16,93.00,34.00,111.60,0.99,-0.75,3.66,18.00
6.510,2825.00,56.00,93.16,93.00,34.00,111.60,0.99,-0.75,1.03,18.00
