Time,"Engine speed","Air mass flow","Relative air filling","Boost pressure","Intake air temperature","Intake air temperature before throttle valve, measured","Ambient pressure"
0.000,0,0,0,0.04,0,0,0
0.179,0,0,0,0.04,42.00,0,0
0.332,0,0,0,0.04,42.00,49.44,0
0.511,0,0,0,0.04,42.00,49.44,14.26
0.659,662.50,0,0,0.04,42.00,49.44,14.26
0.809,662.50,16.00,0,0.04,42.00,49.44,14.26
0.959,662.50,16.00,23.25,0.04,42.00,49.44,14.26
1.111,662.50,16.00,23.25,0.04,42.00,49.44,14.26
1.259,662.50,16.00,23.25,0.04,42.00,49.44,14.26
1.410,662.50,16.00,23.25,0.04,42.00,49.54,14.26
1.560,662.50,16.00,23.25,0.04,42.00,49.54,14.26
1.711,659.00,16.00,23.25,0.04,42.00,49.54,14.26
1.859,659.00,16.00,23.25,0.04,42.00,49.54,14.26
2.011,659.00,16.00,23.25,0.04,42.00,49.54,14.26
2.159,659.00,16.00,23.25,0.04,42.00,49.54,14.26
2.309,659.00,16.00,23.25,0.04,42.00,49.54,14.26
2.459,659.00,16.00,23.25,0.04,42.00,49.54,14.26
2.612,659.00,16.00,23.25,0.04,42.00,49.54,14.26
2.759,661.50,16.00,23.25,0.04,42.00,49.54,14.26
2.911,661.50,16.00,23.25,0.04,42.00,49.54,14.26
3.059,661.50,16.00,23.25,0.04,42.00,49.54,14.26
3.212,661.50,16.00,23.25,0.03,42.00,49.54,14.26
3.359,661.50,16.00,23.25,0.03,42.00,49.54,14.26
3.511,661.50,16.00,23.25,0.03,42.00,49.65,14.26
3.660,661.50,16.00,23.25,0.03,42.00,49.65,14.26
3.809,663.00,16.00,23.25,0.03,42.00,49.65,14.26
3.959,663.00,16.00,23.25,0.03,42.00,49.65,14.26
4.139,663.00,16.00,23.25,0.03,42.00,49.65,14.26
4.289,663.00,16.00,23.25,0.04,42.00,49.65,14.26
4.440,663.00,16.00,23.25,0.04,42.00,49.65,14.26
4.589,663.00,16.00,23.25,0.04,42.00,49.65,14.26
4.740,663.00,16.00,23.25,0.04,42.00,49.65,14.26
4.889,665.50,16.00,23.25,0.04,42.00,49.65,14.26
5.039,665.50,16.00,23.25,0.04,42.00,49.65,14.26
