episode,return,length
0.000000000000000000e+00,-1.798058563561644405e+02,4.499000000000000000e+03
1.000000000000000000e+00,-4.576622355189174414e+02,4.499000000000000000e+03
2.000000000000000000e+00,-4.037889035037951544e+02,4.499000000000000000e+03
3.000000000000000000e+00,-1.776792676702607423e+02,4.499000000000000000e+03
4.000000000000000000e+00,6.101500185898621567e+02,4.499000000000000000e+03
5.000000000000000000e+00,-1.228039704095572233e+02,4.499000000000000000e+03
6.000000000000000000e+00,-2.598796225569094531e+01,4.499000000000000000e+03
7.000000000000000000e+00,3.539113083279808052e+02,4.499000000000000000e+03
8.000000000000000000e+00,3.530748473908170126e+02,4.499000000000000000e+03
9.000000000000000000e+00,8.776908229046966881e+01,4.499000000000000000e+03
1.000000000000000000e+01,1.897952518420934211e+02,4.499000000000000000e+03
