episode,return,length
0.000000000000000000e+00,-1.771794131831265986e+02,4.499000000000000000e+03
1.000000000000000000e+00,-4.391148144910112023e+02,4.499000000000000000e+03
2.000000000000000000e+00,-5.064405164588242769e+02,4.499000000000000000e+03
3.000000000000000000e+00,-1.007993285829434171e+02,4.499000000000000000e+03
4.000000000000000000e+00,6.436043388169928221e+02,4.499000000000000000e+03
5.000000000000000000e+00,-1.915324623300111853e+02,4.499000000000000000e+03
6.000000000000000000e+00,-9.726447542815003544e+01,4.499000000000000000e+03
7.000000000000000000e+00,2.773508414457319304e+02,4.499000000000000000e+03
8.000000000000000000e+00,2.976589625346241519e+02,4.499000000000000000e+03
9.000000000000000000e+00,-5.252146513335173950e+01,4.499000000000000000e+03
1.000000000000000000e+01,9.332235087396111339e+01,4.499000000000000000e+03
